Full Name,Name AR,Class,Section,Gender,Guardian,Guardian Phone
"Ahmed Gaddour","أحمد غدور",Grade 3,A,male,"Youssef Gaddour",0939731248
"Idris Al-Zawawi","إدريس الزواوي",Grade 3,A,male,"Khaled Al-Zawawi",0922463135
"Khaled Ibrahim","خالد إبراهيم",Grade 3,A,male,"Huda Ibrahim",0944303043
"Ahmed Ibrahim","أحمد إبراهيم",Grade 3,A,female,"Huda Ibrahim",0934437557
"Fatima Gaddour","فاطمة غدور",Grade 3,B,male,"Khaled Gaddour",0916198547
"Idris Elmahdi","إدريس المهدي",Grade 3,B,female,"Ahmed Elmahdi",0939467783
"Fatima Al-Mansouri","فاطمة المنصوري",Grade 3,B,female,"Salma Al-Mansouri",0945618042
"Huda Al-Mansouri","هدى المنصوري",Grade 3,B,male,"Fatima Al-Mansouri",0941588952
"Omar Al-Zawawi","عمر الزواوي",Grade 3,B,female,"Omar Al-Zawawi",0943494361
"Idris Al-Zawawi","إدريس الزواوي",Grade 3,B,female,"Huda Al-Zawawi",0914714713
"Huda Al-Zawawi","هدى الزواوي",Grade 3,B,female,"Idris Al-Zawawi",0929770838
"Idris Al-Zawawi","إدريس الزواوي",Grade 3,B,female,"Youssef Al-Zawawi",0944493680
"Youssef Gaddour","يوسف غدور",Grade 3,B,female,"Rania Gaddour",0944371670
"Idris Al-Mansouri","إدريس المنصوري",Grade 4,A,male,"Rania Al-Mansouri",0941465660
"Idris Al-Mansouri","إدريس المنصوري",Grade 4,A,female,"Idris Al-Mansouri",0919238291
"Fatima Gaddour","فاطمة غدور",Grade 4,A,male,"Idris Gaddour",0947941977
"Khaled Elmahdi","خالد المهدي",Grade 4,A,male,"Huda Elmahdi",0943130162
"Salma Ibrahim","سلمى إبراهيم",Grade 4,A,female,"Idris Ibrahim",0932822234
"Aisha Ibrahim","عائشة إبراهيم",Grade 4,A,male,"Youssef Ibrahim",0921382284
"Ahmed Gaddour","أحمد غدور",Grade 4,A,male,"Aisha Gaddour",0915766088
"Salma Elmahdi","سلمى المهدي",Grade 4,A,male,"Rania Elmahdi",0942759686
"Huda Al-Zawawi","هدى الزواوي",Grade 4,A,male,"Idris Al-Zawawi",0934317339
"Idris Ibrahim","إدريس إبراهيم",Grade 4,A,male,"Khaled Ibrahim",0949880980
"Rania Gaddour","رانيا غدور",Grade 4,A,male,"Idris Gaddour",0929885532
"Aisha Al-Zawawi","عائشة الزواوي",Grade 4,A,male,"Aisha Al-Zawawi",0934038940
"Rania Elmahdi","رانيا المهدي",Grade 4,B,male,"Aisha Elmahdi",0922625070
"Omar Gaddour","عمر غدور",Grade 4,B,male,"Fatima Gaddour",0937507864
"Fatima Ibrahim","فاطمة إبراهيم",Grade 4,B,female,"Idris Ibrahim",0924366278
"Khaled Al-Mansouri","خالد المنصوري",Grade 4,B,male,"Aisha Al-Mansouri",0937062000
"Fatima Al-Zawawi","فاطمة الزواوي",Grade 4,B,female,"Idris Al-Zawawi",0922183668
"Huda Al-Mansouri","هدى المنصوري",Grade 4,B,male,"Ahmed Al-Mansouri",0943458781
"Aisha Gaddour","عائشة غدور",Grade 4,B,male,"Aisha Gaddour",0923651257
"Youssef Al-Mansouri","يوسف المنصوري",Grade 4,B,male,"Omar Al-Mansouri",0942302007
"Fatima Elmahdi","فاطمة المهدي",Grade 4,B,female,"Huda Elmahdi",0949645083
"Salma Ibrahim","سلمى إبراهيم",Grade 4,B,male,"Rania Ibrahim",0931222231
"Ahmed Gaddour","أحمد غدور",Grade 4,B,male,"Khaled Gaddour",0947032551
